排序,股票代號,股票名稱,股票交易戶數,ETF代號,ETF名稱,ETF交易戶數
"1","2330","台積電","93074","00878","國泰永續高股息","292671"
"2","2886","兆豐金","33100","0056","元大高股息","267916"
"3","2884","玉山金","29920","0050","元大台灣50","254394"
"4","5880","合庫金","17519","006208","富邦台50","199969"
"5","2892","第一金","16965","00919","群益台灣精選高息","125800"
"6","2317","鴻海","16643","00713","元大台灣高息低波","94251"
"7","2412","中華電","15114","00929","復華台灣科技優息","81945"
"8","2891","中信金","13806","00692","富邦公司治理","36849"
"9","2887","台新金","13061","00881","國泰台灣5G+","29798"
"10","2881","富邦金","12312","00850","元大臺灣ESG永續","26838"
"11","2885","元大金","11261","00940","元大台灣價值高息","25938"
"12","2890","永豐金","9188","00923","群益台ESG低碳50","19618"
"13","1101","台泥","9004","00757","統一FANG+","15823"
"14","2454","聯發科","8681","00646","元大S&P500","14894"
"15","2882","國泰金","8381","00830","國泰費城半導體","13320"
"16","2308","台達電","8275","00733","富邦臺灣中小","11790"
"17","2002","中鋼","7297","00915","凱基優選高股息30","11566"
"18","1216","統一","5065","00922","國泰台灣領袖50","10713"
"19","2382","廣達","5037","00662","富邦NASDAQ","9833"
"20","2303","聯電","4879","00893","國泰智能電動車","9336"
